Item Code,Description,Base UOM,Item Group,Item Type
012071502360,50MMX50MMX2.3MMX3.1M-6M GI HOLLOW PIPE (S SERIES),PC,01-7,0
012071652320,65MMX65MMX2.3MMX1.6M-2M GI HOLLOW PIPE (S SERIES),PC,01-7,0
012071652330,65MMX65MMX2.3MMX2.1M-3M GI HOLLOW PIPE (S SERIES),PC,01-7,0
012071652360,65MMX65MMX2.3MMX3.1M-6M GI HOLLOW PIPE (S SERIES),PC,01-7,0
012071752320,75MMX75MMX2.3MMX1.6M-2M GI HOLLOW PIPE (S SERIES),PC,01-7,0
012071752330,75MMX75MMX2.3MMX2.1M-3M GI HOLLOW PIPE (S SERIES),PC,01-7,0
012071752360,75MMX75MMX2.3MMX3.1M-6M GI HOLLOW PIPE (S SERIES),PC,01-7,0
012072502320,50MMX50MMX2.3MMX1.6M-2M (COLOUR) GI HOLLOW PIPE(S SERIES) E.COLOUR COATED,PC,01-7,0
012072502330,50MMX50MMX2.3MMX2.1M-3M (COLOUR) GI HOLLOW PIPE(S SERIES) E.COLOUR COATED,PC,01-7,0
012072502360,50MMX50MMX2.3MMX3.1M-6M (COLOUR) GI HOLLOW PIPE(S SERIES) E.COLOUR COATED,PC,01-7,0
012072652320,65MMX65MMX2.3MMX1.6M-2M (COLOUR) GI HOLLOW PIPE(S SERIES) E.COLOUR COATED,PC,01-7,0
012072652330,65MMX65MMX2.3MMX2.1M-3M (COLOUR) GI HOLLOW PIPE(S SERIES) E.COLOUR COATED,PC,01-7,0
012072652360,65MMX65MMX2.3MMX3.1M-6M (COLOUR) GI HOLLOW PIPE(S SERIES) E.COLOUR COATED,PC,01-7,0
012072752320,75MMX75MMX2.3MMX1.6M-2M (COLOUR) GI HOLLOW PIPE(S SERIES) E.COLOUR COATED,PC,01-7,0
012072752330,75MMX75MMX2.3MMX2.1M-3M (COLOUR) GI HOLLOW PIPE(S SERIES) E.COLOUR COATED,PC,01-7,0
012072752360,75MMX75MMX2.3MMX3.1M-6M (COLOUR) GI HOLLOW PIPE(S SERIES) E.COLOUR COATED,PC,01-7,0
012081285020,2.80MMX50MMX1.6M-2M GI FLAT BAR (S SERIES),PC,01-7,0
